Length,Freq
4,0
5,10
6,111
7,1085
8,1052
9,1068
10,870
11,143
12,110
13,88
14,286
15,1495
16,2585
17,1145
18,1819
19,15368
20,29678
21,11660
22,5045
23,2268
24,1952
25,2482
26,6964
27,16194
28,24400
29,23633
30,29526
31,12924
32,9793
33,6872
34,7319
35,5182
36,2637
37,0
38,307
39,0
40,0
41,0
42,0
43,0
44,0
